,imonth,success,attacktype1,latitude,longitude,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt
10310,5,1,3,18.697787,81.24922,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
10311,5,1,8,19.286642,80.70338199999998,Unarmed Assault,3,Police,9,Melee
10312,5,1,1,24.272234,87.230775,Assassination,22,Violent Political Party,5,Firearms
10313,5,1,9,25.886339000000003,85.140142,Unknown,2,Government (General),13,Unknown
10314,5,0,3,21.678699,87.563132,Bombing/Explosion,2,Government (General),6,Explosives/Bombs/Dynamite
10315,5,1,6,24.3262,94.0006,Hostage Taking (Kidnapping),14,Private Citizens & Property,13,Unknown
10316,5,0,3,24.795452,84.999431,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10317,5,1,3,33.944824,74.79847099999998,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10318,5,0,3,24.543551,93.967437,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10319,5,0,3,22.711498,88.374475,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
10320,5,1,7,33.644991,75.01803100000002,Facility/Infrastructure Attack,3,Police,5,Firearms
10321,5,1,9,28.495763,77.185548,Unknown,2,Government (General),13,Unknown
10322,5,1,3,18.386905,81.65647,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10323,5,1,3,18.388994,81.656155,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
10324,5,0,3,18.811097,80.803694,Bombing/Explosion,4,Military,6,Explosives/Bombs/Dynamite
10325,5,1,5,24.970643,84.97040600000003,Hostage Taking (Barricade Incident),1,Business,5,Firearms
10326,5,1,6,27.507812,95.907251,Hostage Taking (Kidnapping),1,Business,5,Firearms
10327,5,1,6,19.414085,80.59306,Hostage Taking (Kidnapping),3,Police,5,Firearms
10328,5,1,3,33.731126,75.148701,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10329,5,1,3,29.390946000000003,76.963502,Bombing/Explosion,19,Transportation,6,Explosives/Bombs/Dynamite
10330,5,1,2,24.187059,84.882419,Armed Assault,10,Journalists & Media,5,Firearms
10331,5,1,1,26.219631,84.356424,Assassination,10,Journalists & Media,5,Firearms
10332,5,1,2,25.56471,83.97774799999998,Armed Assault,3,Police,5,Firearms
10333,5,0,3,25.579549,91.891915,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10334,5,1,7,13.120821,80.08610999999998,Facility/Infrastructure Attack,14,Private Citizens & Property,8,Incendiary
10335,5,0,3,11.866037,75.519165,Bombing/Explosion,20,Unknown,6,Explosives/Bombs/Dynamite
10336,5,1,9,11.127122,78.656894,Unknown,14,Private Citizens & Property,13,Unknown
10337,5,1,3,19.725620000000006,81.233825,Bombing/Explosion,3,Police,6,Explosives/Bombs/Dynamite
10338,5,0,3,11.992541,75.449039,Bombing/Explosion,1,Business,6,Explosives/Bombs/Dynamite
10339,5,1,6,33.778175,76.576171,Hostage Taking (Kidnapping),14,Private Citizens & Property,5,Firearms
